order_id,customer_id,order_date,Order Status,sub_total,order_total,total_quantity,Product Details,day,month,coupon
2775,1359,12/12/2016,Shipped,69.0,34.5,1,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-S, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00",12,12,True
2769,1295,12/12/2016,Shipped,69.0,34.5,1,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-S, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00",12,12,True
2767,1259,12/12/2016,Shipped,69.0,34.5,1,"Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-S, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 69.00, Product Total Price: 69.00",12,12,True
2766,533,12/12/2016,Shipped,74.0,37.0,2,"Product ID: 536, Product Qty: 1, Product SKU: 501-Natural-XS, Product Name: Tank, Natural Size XS only, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 39.00, Product Total Price: 39.00|Product ID: 538, Product Qty: 1, Product SKU: 401-Natural-S, Product Name: Crew Neck, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 35.00, Product Total Price: 35.00",12,12,True
2773,1329,12/12/2016,Shipped,78.0,39.0,2,"Product ID: 491, Product Qty: 2, Product SKU: 101-Natural-L, Product Name: Deep Scoop, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 39.00, Product Total Price: 78.00",12,12,True
2764,1357,12/12/2016,Shipped,83.0,41.5,7,"Product ID: 520, Product Qty: 3, Product SKU: 1031-White-L, Product Name: Thong, White - Sizes L & XL only, Product Weight: 0.1000, Product Variation Details: Size: L, Product Unit Price: 8.00, Product Total Price: 24.00|Product ID: 521, Product Qty: 3, Product SKU: 1031-Black-M, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: M, Product Unit Price: 8.00, Product Total Price: 24.00|Product ID: 538, Product Qty: 1, Product SKU: 401-Natural-M, Product Name: Crew Neck, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 35.00, Product Total Price: 35.00",12,12,True
2776,1360,12/12/2016,Shipped,89.0,44.5,4,"Product ID: 521, Product Qty: 2, Product SKU: 1031-Black-M, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: M, Product Unit Price: 8.00, Product Total Price: 16.00|Product ID: 521, Product Qty: 1, Product SKU: 1031-Black-S, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: S, Product Unit Price: 8.00, Product Total Price: 8.00|Product ID: 523, Product Qty: 1, Product SKU: 1040-Black-XS, Product Name: Night Gown.Slip, Black, Product Weight: 0.3500, Product Variation Details: Size: XS, Product Unit Price: 65.00, Product Total Price: 65.00",12,12,True
2777,233,12/12/2016,Shipped,116.0,58.0,3,"Product ID: 491, Product Qty: 1, Product SKU: 101-Natural-L, Product Name: Deep Scoop, Short Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 40.13, Product Total Price: 40.13|Product ID: 495, Product Qty: 1, Product SKU: 202-Natural-L, Product Name: Modest Scoop, Long Sleeve, Natural, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 71.00, Product Total Price: 71.00|Product ID: 521, Product Qty: 1, Product SKU: 1031-Black-M, Product Name: Thong, Black, Product Weight: 0.1000, Product Variation Details: Size: M, Product Unit Price: 8.23, Product Total Price: 8.23",12,12,True
2856,1370,20/12/2016,Shipped,283.0,0.0,4,"Product ID: 510, Product Qty: 1, Product SKU: 402-Black-M, Product Name: Crew Neck, Long Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 79.66, Product Total Price: 79.66|Product ID: 537, Product Qty: 1, Product SKU: 401-White-M, Product Name: Crew Neck, Short Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 72.13, Product Total Price: 72.13|Product ID: 543, Product Qty: 1, Product SKU: 402-White-L, Product Name: Crew Neck, Long Sleeve, White, Product Weight: 0.3500, Product Variation Details: Size: L, Product Unit Price: 79.66, Product Total Price: 79.66|Product ID: 649, Product Qty: 1, Product SKU: 801-Black-M, Product Name: Turtleneck Tank, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 73.20, Product Total Price: 73.20",20,12,True
3153,1445,24/08/2017,Shipped,144.0,0.0,2,"Product ID: 512, Product Qty: 1, Product SKU: 601-Black-S, Product Name: Camisole, Black, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 77.51, Product Total Price: 77.51|Product ID: 513, Product Qty: 1, Product SKU: 601-White-S, Product Name: Camisole, White, Product Weight: 0.3500, Product Variation Details: Size: S, Product Unit Price: 77.51, Product Total Price: 77.51",24,08,True
3833,741,7/8/2019,Shipped,74.0,59.2,1,"Product ID: 665, Product Qty: 1, Product SKU: 301-Navy-M, Product Name: V-Neck - Short Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Navy, Size: M, Product Unit Price: 74.00, Product Total Price: 74.00",7,8,True
